,shopid,title,areaname,backCateName,avgprice,avgscore,latitude,longitude,comments,historyCouponCount,city,address,isMain,record
3776,1245447854,小满茶田,清河,奶茶/果汁,31.0,4.2,40.0304,116.3331,28,2475,北京,海淀区,1,1
3777,1245654838,茶百道,郑州东站,奶茶/果汁,15.0,3.5,34.7706,113.7682,12,455,郑州,金水区,1,1
3778,1245817068,BIGBEAR韩国炸鸡奶茶,水晶城,奶茶/果汁,20.0,0.0,31.7196,117.1656,0,1,合肥,肥西县,1,0
3779,1245872897,蜜雪冰城,嘉禾/人和,奶茶/果汁,7.0,4.4,23.2533,113.3143,578,8218,广州,白云区,1,1
3780,1245924023,熊本熊餐饮店,城南新区,奶茶/果汁,12.0,4.2,36.5485,101.7079,6,23,西宁,城中区,1,1
3781,1246062159,J FOR YOU·皆福手打柠檬茶·泰式奶茶,四川师大,奶茶/果汁,15.0,4.8,30.6062,104.1188,15,216,成都,锦江区,1,1
3782,1246244950,甜啦啦,高铁东站/龙昆南,奶茶/果汁,15.0,3.8,19.9896,110.3685,0,0,海口,琼山区,1,1
3783,1246267375,小巷茶铺,美兰区,奶茶/果汁,8.0,4.4,20.0265,110.3685,7,35,海口,美兰区,1,1
3784,1246373483,茶百道,铁路局,奶茶/果汁,15.0,4.4,43.8759,87.5569,372,5369,乌鲁木齐,新市区,1,1
3785,1246379945,莓兽,青年大街,奶茶/果汁,15.0,4.7,41.776,123.4366,35,1336,沈阳,沈河区,1,1
3786,1246415867,CoCo都可,江宁万达,奶茶/果汁,13.0,4.1,31.9516,118.8433,17,721,南京,江宁区,1,1
3787,1246473249,西米奶茶,蔡甸区,奶茶/果汁,0.0,0.0,30.4574,113.9378,0,0,武汉,蔡甸区,1,0
3788,1246685481,茶百道,星光大道,奶茶/果汁,19.0,3.5,30.2068,120.2105,0,0,杭州,滨江区,1,1
3789,1246743248,兵之王,昆明南站/呈贡大学城,奶茶/果汁,13.0,4.2,24.8579,102.8601,4,97,昆明,呈贡区,1,1
3790,1246902540,蜜雪冰城,洪家楼,奶茶/果汁,6.0,4.3,36.6858,117.062,128,3425,济南,历城区,1,1
3791,124697998,阿姨奶茶,西渡镇,奶茶/果汁,17.0,3.9,30.9622,121.4358,60,1425,上海,奉贤区,1,1
3792,1247010117,漂流巷子,商品街,奶茶/果汁,20.0,0.0,18.2505,109.5123,13,1,三亚,吉阳区,1,0
3793,1247015164,悸动烧仙草,长桥地区,奶茶/果汁,14.0,4.1,31.2539,120.6063,90,1722,苏州,吴中区,1,1
3794,1247293625,鲜芋仙Meet  Fresh,市政府,港台甜品,20.0,4.2,29.6565,91.182,153,2034,拉萨,城关区,1,1
3795,1247479580,喜茶,八一广场/省府,奶茶/果汁,30.0,4.3,28.6757,115.9022,0,0,南昌,东湖区,1,1
3796,1247534113,来一杯奶茶店,清镇,奶茶/果汁,0.0,0.0,26.5809,106.4329,0,0,贵阳,清镇市,1,0
3797,1247634408,俏宫廷,花溪区,奶茶/果汁,10.0,4.5,26.5173,106.7011,20,317,贵阳,花溪区,1,1
3798,1247637664,书亦烧仙草,中山东路,奶茶/果汁,15.0,4.5,38.0447,114.5622,43,1577,石家庄,长安区,1,1
3799,1247646047,茶百道,余家头/四美塘,奶茶/果汁,15.0,4.4,30.5844,114.3496,154,3046,武汉,武昌区,1,1
3800,1247681790,古茗,重百/东城汽车站,奶茶/果汁,15.0,4.9,30.9259,108.7066,37,364,重庆,云阳县,1,1
3801,1247710591,书亦烧仙草,大商/升龙城,奶茶/果汁,13.0,4.5,34.7231,113.631,375,6400,郑州,二七区,1,1
3802,1247872908,泰迪珍藏茶饮店,五塔寺,奶茶/果汁,0.0,0.0,40.7962,111.6796,0,0,呼和浩特,玉泉区,1,0
3803,1247936006,CoCo都可,芷阳湖,奶茶/果汁,13.0,3.7,34.3645,109.1759,1,255,西安,临潼区,1,1
3804,1247992576,茶百道,楚河汉街,奶茶/果汁,15.0,4.8,30.5536,114.3405,43,1666,武汉,武昌区,1,1
3805,1248096742,7分甜,虎丘区,奶茶/果汁,20.0,4.1,31.3164,120.5017,53,1502,苏州,虎丘区,1,1
3806,1248155079,书亦烧仙草,开福区,奶茶/果汁,13.0,4.3,28.2968,112.9708,528,9204,长沙,开福区,1,1
3807,1248156769,俏宫廷,金凤万达,奶茶/果汁,0.0,0.0,38.4851,106.2477,0,0,银川,金凤区,1,0
3808,124815814,茶百道,洪河/半边街,奶茶/果汁,15.0,4.8,30.6151,104.1629,1524,120,成都,龙泉驿区,1,1
3809,1248199187,益禾堂,翔安区,奶茶/果汁,9.0,4.2,24.6413,118.2381,5,132,厦门,翔安区,1,1
3810,1248267360,1点点,嘉定新城,奶茶/果汁,21.0,3.6,31.331,121.2543,0,0,上海,嘉定区,1,1
3811,1248320718,蜜雪冰城,红角洲/前湖大学城,奶茶/果汁,0.0,4.4,28.6395,115.8009,106,1991,南昌,红谷滩区,1,0
3812,1248433907,CoCo都可,电视台/会展中心,奶茶/果汁,0.0,3.6,34.1984,108.9507,0,0,西安,雁塔区,1,0
3813,1248498395,喜茶,新街口/德基广场,奶茶/果汁,28.0,4.4,32.0401,118.7852,0,0,南京,秦淮区,1,1
3814,1248514349,柚见鲜茶,嘎玛贡桑,奶茶/果汁,0.0,0.0,29.653,91.1485,0,0,拉萨,城关区,1,0
3815,1248521641,奶域奶茶,王府井,奶茶/果汁,0.0,4.5,36.0426,103.8721,0,0,兰州,城关区,1,0
3816,1248576068,小仕煮糖烤茶,玉长城商业广场/银泰,奶茶/果汁,13.0,4.5,30.0603,119.9412,144,2631,杭州,富阳区,1,1
3817,1248581044,悸动烧仙草,曹路,奶茶/果汁,15.0,4.3,31.2804,121.6764,543,9062,上海,浦东新区,1,1
3818,1248611400,书亦烧仙草,荔湾区,奶茶/果汁,12.0,4.2,23.0637,113.2318,894,14993,广州,荔湾区,1,1
3819,1248612376,益禾堂,松岗,奶茶/果汁,9.0,4.1,22.7684,113.8471,84,1407,深圳,宝安区,1,1
3820,1248618949,海南椰子里,新天地购物公园,奶茶/果汁,0.0,0.0,43.8993,125.3453,0,0,长春,南关区,1,0
3821,1248733386,1点点,临浦,奶茶/果汁,14.0,4.2,30.0699,120.2029,0,0,杭州,萧山区,1,1
3822,1248747478,致青春,经贸大学家属院,奶茶/果汁,0.0,3.8,38.1298,114.4973,0,0,石家庄,新华区,1,0
3823,1248756431,书亦烧仙草,龙湖时代天街,奶茶/果汁,14.0,4.0,29.5331,106.5122,108,3443,重庆,渝中区,1,1
3824,1248814896,真慧煮奶茶店,小南河,奶茶/果汁,9.0,4.3,39.0411,117.1378,0,0,天津,西青区,1,1
3825,1248817784,茶颜悦色,江汉路/南京路,奶茶/果汁,0.0,4.1,30.5848,114.2869,0,0,武汉,江岸区,1,0
3826,1248849645,肯德基,五缘湾,西式快餐/汉堡,30.0,4.5,24.5277,118.1911,8,0,厦门,湖里区,0,1
3827,1248980110,古茗,昌北经济开发区,奶茶/果汁,15.0,4.1,28.7447,115.8696,5,135,南昌,青山湖区,1,1
3828,1249077319,大圣茶·西游记之大圣归来茶饮店,服装城/学府路,奶茶/果汁,10.0,4.8,45.7044,126.6184,213,1792,哈尔滨,南岗区,1,1
3829,1249128917,茶百道(石岩盛妆百货店),石岩,奶茶/果汁,15.0,4.3,22.6775,113.932,2,195,深圳,宝安区,1,1
3830,1249146150,蜜雪冰城,长清大学城,冰淇淋,7.0,4.1,36.5579,116.8176,68,1102,济南,长清区,1,1
3831,1249188045,海口美兰益柠烤奶水吧坊,海甸岛,奶茶/果汁,0.0,0.0,20.058,110.3492,0,0,海口,美兰区,1,0
3832,1249251767,蜜雪冰城,南坪,奶茶/果汁,6.0,4.8,29.5271,106.5682,1528,16477,重庆,南岸区,1,1
3833,1249359219,春莱老挝咖啡奶茶,大都摩天购物中心,奶茶/果汁,15.0,4.9,24.9721,102.7709,103,1131,昆明,官渡区,1,1
